access_no,Author,Book Name,Stream,publisher,ISBN,year_pub,Image url,Description
46365,RAKSHIT SAMIR KUMAR,ETHICAL HACKERS PENETRATION TESTING GUIDE,Computer Science and Engineering,BPB PUBLICATIONS,9789355512154,2024,http://books.google.com/books/content?id=ZetwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Discover security posture, vulnerabilities, and blind spots ahead of the threat actor KEY FEATURES ● Includes illustrations and real-world examples of pentesting web applications, REST APIs, thick clients, mobile applications, and wireless networks. ● Covers numerous techniques such as Fuzzing (FFuF), Dynamic Scanning, Secure Code Review, and bypass testing. ● Practical application of Nmap, Metasploit, SQLmap, OWASP ZAP, Wireshark, and Kali Linux. DESCRIPTION The 'Ethical Hacker's Penetration Testing Guide' is a hands-on guide that will take you from the fundamentals of pen testing to advanced security testing techniques. This book extensively uses popular pen testing tools such as Nmap, Burp Suite, Metasploit, SQLmap, OWASP ZAP, and Kali Linux. A detailed analysis of pentesting strategies for discovering OWASP top 10 vulnerabilities, such as cross-site scripting (XSS), SQL Injection, XXE, file upload vulnerabilities, etc., are explained. It provides a hands-on demonstration of pentest approaches for thick client applications, mobile applications (Android), network services, and wireless networks. Other techniques such as Fuzzing, Dynamic Scanning (DAST), and so on are also demonstrated. Security logging, harmful activity monitoring, and pentesting for sensitive data are also included in the book. The book also covers web security automation with the help of writing effective python scripts. Through a series of live demonstrations and real-world use cases, you will learn how to break applications to expose security flaws, detect the vulnerability, and exploit it appropriately. Throughout the book, you will learn how to identify security risks, as well as a few modern cybersecurity approaches and popular pentesting tools. WHAT YOU WILL LEARN ● Expose the OWASP top ten vulnerabilities, fuzzing, and dynamic scanning. ● Get well versed with various pentesting tools for web, mobile, and wireless pentesting. ● Investigate hidden vulnerabilities to safeguard critical data and application components. ● Implement security logging, application monitoring, and secure coding. ● Learn about various protocols, pentesting tools, and ethical hacking methods. WHO THIS BOOK IS FOR This book is intended for pen testers, ethical hackers, security analysts, cyber professionals, security consultants, and anybody interested in learning about penetration testing, tools, and methodologies. Knowing concepts of penetration testing is preferable but not required. TABLE OF CONTENTS 1. Overview of Web and Related Technologies and Understanding the Application 2. Web Penetration Testing- Through Code Review 3. Web Penetration Testing-Injection Attacks 4. Fuzzing, Dynamic scanning of REST API and Web Application 5. Web Penetration Testing- Unvalidated Redirects/Forwards, SSRF 6. Pentesting for Authentication, Authorization Bypass, and Business Logic Flaws 7. Pentesting for Sensitive Data, Vulnerable Components, Security Monitoring 8. Exploiting File Upload Functionality and XXE Attack 9. Web Penetration Testing: Thick Client 10. Introduction to Network Pentesting 11. Introduction to Wireless Pentesting 12. Penetration Testing-Mobile App 13. Security Automation for Web Pentest 14. Setting up Pentest Lab"
46403,KRISHNA NISHANT,PYTHON FOR CYBERSECURITY COOKBOOK : 80+ PRACTICE RECIPES FPR DETECTING DEFENDING AND RESPONDING TO CYBER THREATS,Computer Science and Engineering,BPB PUBLICATIONS,9789355513809,2024,http://books.google.com/books/content?id=IEvXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Learn how to use Python for vulnerability scanning, malware analysis, penetration testing, and more KEY FEATURES ● Get familiar with the different aspects of cybersecurity, such as network security, malware analysis, and penetration testing. ● Implement defensive strategies to protect systems, networks, and data from cyber threats. ● Discover advanced offensive techniques for penetration testing, exploiting vulnerabilities, and assessing overall security posture. DESCRIPTION Python is a powerful and versatile programming language that can be used for a wide variety of tasks, including general-purpose applications and specific use cases in cybersecurity. This book is a comprehensive guide to solving simple to moderate complexity problems in cybersecurity using Python. It starts with fundamental issues in reconnaissance and then moves on to the depths of the topics such as forensic analysis, malware and phishing analysis, and working with wireless devices. Furthermore, it also covers defensive and offensive security topics, such as system hardening, discovery and implementation, defensive security techniques, offensive security techniques, and penetration testing. By the end of this book, you will have a strong understanding of how to use Python for cybersecurity and be able to solve problems and create solutions independently. WHAT YOU WILL LEARN ● Learn how to use Python for cyber forensic analysis. ● Explore ways to analyze malware and phishing-based compromises. ● Use network utilities to gather information, monitor network activity, and troubleshoot issues. ● Learn how to extract and analyze hidden information in digital files. ● Examine source code for vulnerabilities and reverse engineering to understand software behavior. WHO THIS BOOK IS FOR The book is for a wide range of people interested in cybersecurity, including professionals, researchers, educators, students, and those considering a career in the field. TABLE OF CONTENTS 1. Getting Started 2. Passive Reconnaissance 3. Active Reconnaissance 4. Development Environment for Advanced Techniques 5. Forensic Analysis 6. Metadata Extraction and Parsing 7. Malware and Phishing Analysis 8. Working with Wireless Devices 9. Working with Network Utilities 10. Source Code Review and Reverse Engineering 11. System Hardening, Discovery, and Implementation 12. Defensive Security Techniques 13. Offensive Security Techniques and Pen Testing"
46514,PADIYAR K R,POWER SYSTEM DYNAMICS : STABILITY AND CONTROL,Electrical and Electronics Engineering,BPB PUBLICATIONS,9788178000244,2018,,"Modern power systems tend to be very complex not only due to increasing demand for quality power, but also on account of extensive interconnections and increasing dependence on control for optimum utilization for existing resources. A good knowledge of system dynamics and control is essential for secure operation of the system. This book is intended to serve the needs of the student and practicing engineers."
46512,SAURABH SNEH,INTRODUCTION TO VLSI DESIGN FLOW,Electronics and Communication Engineering ,CAMBRIDGE UNIVERSITY PRESS,9781009200813,2024,http://books.google.com/books/content?id=pN_LEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A textbook on the fundamentals of VLSI design flow, covering the various stages of design implementation, verification, and testing."
46495,NELSON BILL; PHILLIPS AMELIA; STEEUART CHRIS,GUIDE TO COMPUTER FORENSICS AND INVESTIGATIONS,Computer Science and Engineering,CENGAGE LEARNING,9789353506261,2023,,
46555,MATHEW THOMAS,RATAN TATA : LIFE,General,HARPER COLLINS PUBLISHERS,9789356295698,2024,,
46472,HOUSEL MORGAN,PSYCHOLOGY OF MONEY : TIMELESS LESSONS ON WEALTH GREED AND HAPPINESS,General,JAICO PUBLISHING HOUSE,9789390166268,2024,http://books.google.com/books/content?id=zO8AzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
46434,BLUM RICHARD,PHP MYSQL & JAVASCRIPT ALL IN ONE FOR DUMMIES,Computer Science and Engineering,John Wiley & Sons,9788126576005,2023,,
46370,JAIN K C,FUNDAMENTALS OF HYBRID AND ELECTRIC VEHICLES,Automobile Engineering,KHANNA PUBLISHERS,9789392549762,2024,,
46394,GREWAL B S; GREWAL J S,"NUMERICAL METHODS : ENGINEERING AND SCIENCE WITH PROGRAMS IN C, C++ AND MATLAB",Science and Humanities,KHANNA PUBLISHERS,9788174092489,2024,,
